"","a","mTurkCode","V8","V9","V10","X6","Cognitive load","Had read","Q1","Q2_1","Q3","Q4_1","Q6","Q7_1","Q8","Q9_1","Q11_1","Q14_1","Q13","end.num","eff.split","badness","importance","count.eff","count.hard"
"107","R_3fP0PbVHhHfOgrE","4235521","4/4/17 16:04","4/4/17 16:05","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA
"108","R_2EbKa7TEmqT2eak","4231977","4/4/17 16:04","4/4/17 16:06","1",NA,"1","1","1","5","11","4",NA,NA,NA,NA,NA,NA,"no",11,4,NA,NA,NA,NA
"109","R_ZI8hX8YXHM1cxAB","4230172","4/5/17 14:56","4/5/17 14:57","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"110","R_3L74RSnFAh7RoqF","4234730","4/5/17 14:55","4/5/17 14:57","1",NA,"1","0",NA,NA,NA,NA,"1","1","3","1",NA,NA,NA,3,1,NA,NA,NA,NA
"111","R_8vIKygfge9hCB21","4236103","4/5/17 15:28","4/5/17 15:42","1",NA,"1","0",NA,NA,NA,NA,"1","1","531","4",NA,NA,NA,531,4,NA,NA,NA,NA
"112","R_1DFQ1vAn7hJSZAh","4239413","4/5/17 15:27","4/5/17 15:42","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","nope",NA,NA,NA,NA,NA,NA
"113","R_vN2ceJYYRhi71Kx","4232123","4/5/17 15:27","4/5/17 15:43","1",NA,"1","0",NA,NA,NA,NA,"1","3","561","1",NA,NA,NA,561,1,NA,NA,NA,NA
"114","R_2qEl2fyHJ5wC5tR","4238290","4/5/17 15:47","4/5/17 16:16","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA
"115","R_3hbaIv2cTgUm63n","4233180","4/5/17 15:48","4/5/17 16:17","1",NA,"1","0",NA,NA,NA,NA,"1","1","4","6",NA,NA,NA,4,6,NA,NA,NA,NA
"116","R_24FNCYbIKGGIy0u","4232325","4/5/17 15:47","4/5/17 16:18","1",NA,"1","0",NA,NA,NA,NA,"1","6","552","5",NA,NA,NA,552,5,NA,NA,NA,NA
"117","R_2zwfHdUrIlglOwA","4239095","4/5/17 16:25","4/5/17 16:25","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA
"118","R_1gtoJurM4NggpMS","4232234","4/5/17 16:28","4/5/17 16:28","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA
"119","R_1FqucPJ1D2RaiKl","4237512","4/5/17 16:25","4/5/17 16:29","1",NA,"1","0",NA,NA,NA,NA,"1","5","550","3",NA,NA,NA,550,3,NA,NA,NA,NA
"120","R_2dK14pF9W4usLaj","4235576","4/5/17 16:25","4/5/17 16:29","1",NA,"1","1","1","0","550","0",NA,NA,NA,NA,NA,NA,NA,550,0,NA,NA,NA,NA
"121","R_2c7REuTcDQ7iE96","4231594","4/5/17 16:59","4/5/17 17:15","1",NA,"1","0",NA,NA,NA,NA,"1","1","564","1",NA,NA,NA,564,1,NA,NA,NA,NA
"122","R_2TRwTdv8z7B7uxj","4232645","4/5/17 16:59","4/5/17 17:16","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"123","R_3HSPy6OmMuGDYUD","4235293","4/5/17 16:59","4/5/17 17:16","1",NA,"1","1","1","5","34","1",NA,NA,NA,NA,NA,NA,"None",34,1,NA,NA,NA,NA
"124","R_9RbBe9BnbXS5HiN","4236626","4/5/17 17:21","4/5/17 17:46","1",NA,"1","1","1","8","543","1",NA,NA,NA,NA,NA,NA,"I started counting and then lost count once I started reading so then by the end of the paragraph, my attention went from counting to reading.",543,1,NA,NA,NA,NA
"125","R_1NanvfeJegVfWhx","4233977","4/5/17 17:21","4/5/17 17:47","1",NA,"1","1","1","5","537","0",NA,NA,NA,NA,NA,NA,NA,537,0,NA,NA,NA,NA
"126","R_vN1LiCc634gbbtT","4236007","4/5/17 17:21","4/5/17 17:48","1",NA,"1","1","1","2","561","1",NA,NA,NA,NA,NA,NA,"I cant count and read at the same time",561,1,NA,NA,NA,NA
"127","R_10Yh9Xg7lmGzFMV","4238366","4/6/17 13:33","4/6/17 13:35","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
"128","R_2tDu1bgkTY2sjuL","4234061","4/6/17 13:34","4/6/17 13:35","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
"129","R_2TuEYR0lGGXc8P7","4237636","4/6/17 13:33","4/6/17 13:35","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA
"130","R_OkeL5hUAKZcBWVz","4239693","4/6/17 13:35","4/6/17 13:38","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
"131","R_1OPjt5VH6PfADEf","4238027","4/7/17 14:37","4/7/17 14:49","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","no",NA,NA,NA,NA,NA,NA
"132","R_3HC68oAqxvJI11Z","4233665","4/7/17 14:34","4/7/17 14:50","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA
"133","R_1gT8kxRv1F8fLOq","4233706","4/7/17 14:33","4/7/17 14:52","1",NA,"1","0",NA,NA,NA,NA,"1","0","543","4",NA,NA,NA,543,4,NA,NA,NA,NA
"134","R_1P5kXcyOeXC8hhx","4238124","4/7/17 14:53","4/7/17 15:19","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA
"135","R_1f0Nw9SQsGTmVmA","4239360","4/7/17 15:05","4/7/17 15:22","1",NA,"1","0",NA,NA,NA,NA,"1","1","504","3",NA,NA,"No comments.",504,3,NA,NA,NA,NA
"136","R_2b2lebFOYewdEz2","4233944","4/7/17 15:01","4/7/17 15:24","1",NA,"1","1","1","8","558","1",NA,NA,NA,NA,NA,NA,NA,558,1,NA,NA,NA,NA
"137","R_dncJ16XJognKFBT","4237103","4/7/17 15:31","4/7/17 15:50","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"138","R_RKVruMFOtKmYEnv","4235679","4/7/17 15:32","4/7/17 15:51","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA
"139","R_Rss1rFaVnRx2yFX","4230141","4/7/17 15:36","4/7/17 15:51","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA
"140","R_3EckqTkY9vrRwWW","4232284","4/7/17 16:07","4/7/17 16:21","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA
"141","R_10UzJTAT32K1N0T","4237920","4/7/17 16:08","4/7/17 16:23","1",NA,"1","0",NA,NA,NA,NA,"1","2","543","1",NA,NA,NA,543,1,NA,NA,NA,NA
"142","R_207Fc3FPqsMaRGx","4232201","4/7/17 16:08","4/7/17 16:24","1",NA,"1","1","1","4","550","3",NA,NA,NA,NA,NA,NA,NA,550,3,NA,NA,NA,NA
"143","R_3L6Dk56zMqH3g5y","4235029","4/7/17 16:39","4/7/17 16:50","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","Thaank you!",NA,NA,NA,NA,NA,NA
"144","R_3mged4XHSDnAr3s","4238421","4/7/17 16:39","4/7/17 16:51","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","I enjoyed the study",NA,NA,NA,NA,NA,NA
"145","R_3JlpQQViveVC2Rq","4239690","4/7/17 16:37","4/7/17 16:52","1",NA,"1","0",NA,NA,NA,NA,"1","2","520","0",NA,NA,NA,520,0,NA,NA,NA,NA
"146","R_1DSash7YJJzg5De","4236199","4/10/17 11:59","4/10/17 12:00","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"147","R_11cQkWu9wNsrzEd","4237102","4/10/17 12:00","4/10/17 12:03","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA
"148","R_xsgx6IyJvJYMcKt","4233759","4/10/17 12:03","4/10/17 12:03","1",NA,"1","1","1","2","534","3",NA,NA,NA,NA,NA,NA,"No comments",534,3,NA,NA,NA,NA
"149","R_28IMhYue6NpNgHs","4239470","4/10/17 12:03","4/10/17 12:04","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","Do not make eye contacts with the professor at this moment.",NA,NA,NA,NA,NA,NA
"150","R_3q7oiNUqhCswHgV","4234217","4/10/17 12:02","4/10/17 12:07","1",NA,"1","1","1","7","541","2",NA,NA,NA,NA,NA,NA,"It was definitely challenging to receive information and attempt to process unrelated information simultaneously.",541,2,NA,NA,NA,NA
"151","R_1q4Ka37wFZsBtOs","4234305","4/11/17 16:02","4/11/17 16:03","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA
"152","R_32RYyhXuMBI0sEw","4233464","4/11/17 16:02","4/11/17 16:04","1",NA,"1","0",NA,NA,NA,NA,"1","4","4","3",NA,NA,NA,4,3,NA,NA,NA,NA
"153","R_3qgO7X8V4UofdNo","4231842","4/11/17 16:02","4/11/17 16:05","1",NA,"1","1","1","6","541","1",NA,NA,NA,NA,NA,NA,NA,541,1,NA,NA,NA,NA
"154","R_12Av6MNTy3RBSSf","4232600","4/11/17 16:03","4/11/17 16:07","1",NA,"1","1","1","6","504","1",NA,NA,NA,NA,NA,NA,NA,504,1,NA,NA,NA,NA
"155","R_31t44A5VlNvOFAB","4234770","4/11/17 16:04","4/11/17 16:07","1",NA,"1","0",NA,NA,NA,NA,"1","3","555","0",NA,NA,NA,555,0,NA,NA,NA,NA
"156","R_2eakZu0SPyupSMu","4239566","4/12/17 15:32","4/12/17 15:51","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA
"157","R_1g5UEhoYRojDTrc","4236061","4/12/17 15:54","4/12/17 15:58","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"158","R_3r2qmYzQPnhVjLD","4232056","4/12/17 15:46","4/12/17 16:00","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","None",NA,NA,NA,NA,NA,NA
"159","R_32WMjHuMIs4S8p1","4230495","4/12/17 16:03","4/12/17 16:18","1",NA,"1","1","1","1","514","1",NA,NA,NA,NA,NA,NA,NA,514,1,NA,NA,NA,NA
"160","R_1EXMbQjADuucE4D","4233126","4/12/17 16:02","4/12/17 16:20","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA
"161","R_1KiQLgJt2t4y7FN","4239859","4/12/17 16:03","4/12/17 16:20","1",NA,"1","1","1","1","531","4",NA,NA,NA,NA,NA,NA,NA,531,4,NA,NA,NA,NA
"162","R_3rSVGCApsG9Iw3h","4239300","4/12/17 16:30","4/12/17 16:45","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
"163","R_2s1jUkjTg2OgVTX","4230815","4/12/17 16:27","4/12/17 16:45","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA
"164","R_3I3H2YJ7YcZw1q6","4235151","4/12/17 16:31","4/12/17 16:46","1",NA,"1","0",NA,NA,NA,NA,"1","4","549","1",NA,NA,NA,549,1,NA,NA,NA,NA
"165","R_2rJwCz42tesMQjB","4231527","4/12/17 16:59","4/12/17 17:17","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
"166","R_56WJhhTec140U5r","4231558","4/12/17 17:01","4/12/17 17:18","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"167","R_1HbKuHtdaiQpJFP","4236122","4/12/17 17:01","4/12/17 17:18","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA
"168","R_vGNeR3hlecctj2N","4231830","4/12/17 17:33","4/12/17 17:48","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
"169","R_2wuHR4posUcnw1u","4233084","4/12/17 17:31","4/12/17 17:48","1",NA,"1","0",NA,NA,NA,NA,"1","2","540","2",NA,NA,"I used my fingers to count so that my mind did not have to (as actively) count",540,2,NA,NA,NA,NA
"170","R_3IPHfaL89JSCiGI","4233046","4/12/17 17:33","4/12/17 17:49","1",NA,"1","1","1","4","548","1",NA,NA,NA,NA,NA,NA,"It was extremely difficult for me to perform both tasks simultaneously",548,1,NA,NA,NA,NA
"171","R_21jsmEUA6WMgqYY","4236420","4/14/17 10:59","4/14/17 10:59","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA
"172","R_3NC0yl9nVuCsl3s","4232406","4/14/17 10:59","4/14/17 11:00","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA
"173","R_3EieyCAYfCFjLn1","4236302","4/14/17 10:59","4/14/17 11:00","1",NA,"1","1","1","7","540","1",NA,NA,NA,NA,NA,NA,NA,540,1,NA,NA,NA,NA
"174","R_1PTRLd5ChRBZwCE","4239290","4/14/17 10:59","4/14/17 11:01","1",NA,"1","0",NA,NA,NA,NA,"1","1","561","0",NA,NA,NA,561,0,NA,NA,NA,NA
"175","R_es8xoIYnMF4u7TP","4235114","4/14/17 14:15","4/14/17 14:45","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA
"176","R_22RFhRZUo480NS4","4235952","4/14/17 14:14","4/14/17 14:45","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"177","R_sUaGXfc03syl9Pr","4235638","4/14/17 14:15","4/14/17 14:46","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
"178","R_3EG38NQqzlhL0Qw","4236039","4/14/17 14:58","4/14/17 15:15","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA
"179","R_2TQPbL9glGLbtLb","4239070","4/14/17 14:58","4/14/17 15:15","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA
"180","R_3HFVH69pHfC1Los","4232882","4/14/17 14:57","4/14/17 15:16","1",NA,"1","1","1","5","543","1",NA,NA,NA,NA,NA,NA,"Difficulty reading and counting simultaneously",543,1,NA,NA,NA,NA
"181","R_3oGDqjOLReUZmGY","4239823","4/14/17 15:29","4/14/17 15:48","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"182","R_23PaJ7Ncl0l6vyV","4233790","4/14/17 15:29","4/14/17 15:50","1",NA,"1","1","1","1","540","3",NA,NA,NA,NA,NA,NA,"I kept switching back and forth between the reading and the counting and don't believe I did either well...",540,3,NA,NA,NA,NA
"183","R_2AYDhUKpqmiaDd1","4232336","4/14/17 16:01","4/14/17 16:47","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
"184","R_1hGaZQL6oIyVFCz","4233969","4/14/17 16:04","4/14/17 16:48","1",NA,"1","0",NA,NA,NA,NA,"1","1","525","4",NA,NA,NA,525,4,NA,NA,NA,NA
"185","R_1mgdVSWCHPACRLl","4238281","4/14/17 16:03","4/14/17 16:50","1",NA,"1","0",NA,NA,NA,NA,"1","5","548","4",NA,NA,"I do not believe I did either task very well or quickly.",548,4,NA,NA,NA,NA
"186","R_3lX0UxCcysjqjl1","4237525","2/1/17 11:54","2/1/17 16:05","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA
"187","R_2zzIQ9bpx0uPR3B","4235317","2/1/17 11:56","2/1/17 16:05","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA
"188","R_W8SEDKg0fkSNCzD","4230367","2/1/17 11:55","2/1/17 16:05","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA
"189","R_2ZTWxc7cJqgpg2W","4234596","2/1/17 12:01","2/1/17 16:05","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA
"190","R_xgrLuAmf3FDOggN","4235106","2/1/17 11:50","2/1/17 16:05","1",NA,"1","1","1","1","543","5",NA,NA,NA,NA,NA,NA,NA,543,5,NA,NA,NA,NA
"191","R_3s4waYAznZRsngs","4232147","2/1/17 11:56","2/1/17 16:06","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA
"192","R_3QFVVPIXN1ov2Dg","4233451","2/1/17 12:01","2/1/17 16:06","1",NA,"1","0",NA,NA,NA,NA,"1","6","528","5",NA,NA,NA,528,5,NA,NA,NA,NA
"193","R_1I5Ewi0diQOOh0F","4230397","2/2/17 12:08","2/2/17 16:04","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA
"194","R_11cDfN4JkeeN281","4236332","2/2/17 12:09","2/2/17 16:04","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA
"195","R_2y3EhtihpEJuOTl","4235688","2/2/17 12:10","2/2/17 16:04","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"196","R_0v1xdQHd2Qp1T5T","4234622","2/2/17 12:08","2/2/17 16:05","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"197","R_32XAo1w6A2pfFcF","4231373","2/2/17 12:07","2/2/17 16:05","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"7",NA,NA,NA,NA,NA,NA,NA
"198","R_3g7boWHjmZrAqE1","4231463","2/2/17 12:06","2/2/17 16:06","1",NA,"1","0",NA,NA,NA,NA,"1","5","534","1",NA,NA,NA,534,1,NA,NA,NA,NA
"199","R_2y7KhwSQA473AGq","4238173","2/2/17 12:07","2/2/17 16:07","1",NA,"1","0",NA,NA,NA,NA,"1","5","525","3",NA,NA,NA,525,3,NA,NA,NA,NA
"200","R_1pQJrowNKYwjZor","4239421","2/2/17 12:08","2/2/17 16:07","1",NA,"1","0",NA,NA,NA,NA,"1","1","492","1",NA,NA,NA,492,1,NA,NA,NA,NA
"201","R_D1RNQ7jeBNruD3r","4231090","2/2/17 12:07","2/2/17 16:07","1",NA,"1","0",NA,NA,NA,NA,"1","2","540","2",NA,NA,NA,540,2,NA,NA,NA,NA
"202","R_21Ht3z1wbPUcT4w","4238075","2/3/17 10:04","2/3/17 11:02","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA
"203","R_2919BSwJExF8Ot7","4231225","2/3/17 10:03","2/3/17 11:02","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA
"204","R_2PdHwt31Bm0skAY","4234380","2/3/17 10:04","2/3/17 11:03","1",NA,"1","1","1","2","2","1",NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA
"205","R_2EiChp5a3DHK8Lc","4238666","2/3/17 10:03","2/3/17 11:06","1",NA,"1","0",NA,NA,NA,NA,"1","3","555","1",NA,NA,NA,555,1,NA,NA,NA,NA
"206","R_wOhf0cXEbcVhK5r","4235136","2/3/17 10:03","2/3/17 11:44","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA
"207","R_24nH2bJe9AAmtVJ","4238518","2/3/17 10:03","2/3/17 11:46","1",NA,"1","1","1","5","549","1",NA,NA,NA,NA,NA,NA,NA,549,1,NA,NA,NA,NA
"208","R_SYH0Ku2NfH9rQkh","4230325","2/3/17 11:29","2/3/17 12:29","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA
"209","R_dg4utz13fkNaApP","4239945","2/3/17 10:02","2/3/17 12:31","1",NA,"1","1","1","5","546","5",NA,NA,NA,NA,NA,NA,NA,546,5,NA,NA,NA,NA
"210","R_1laX0YKO1RWiuA0","4231449","2/9/17 15:46","2/9/17 16:17","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA
"211","R_3fpEnsptL8cYReJ","4236552","2/9/17 15:45","2/9/17 16:17","1",NA,"1","0",NA,NA,NA,NA,"1","1","0","5",NA,NA,NA,0,5,NA,NA,NA,NA
"212","R_3F29Ds6mtWKFniA","4231661","2/9/17 15:47","2/9/17 16:17","1",NA,"1","1","1","7","540","3",NA,NA,NA,NA,NA,NA,NA,540,3,NA,NA,NA,NA
"213","R_1mw1BcZunWXdo0r","4230512","2/9/17 15:46","2/9/17 16:18","1",NA,"1","1","1","6","528","3",NA,NA,NA,NA,NA,NA,NA,528,3,NA,NA,NA,NA
"214","R_1MZowLbnUsy5lum","4233671","2/9/17 15:47","2/9/17 16:18","1",NA,"1","0",NA,NA,NA,NA,"1","2","534","3",NA,NA,NA,534,3,NA,NA,NA,NA
"215","R_2PqlJxkFETF49lX","4236909","2/9/17 15:45","2/9/17 16:18","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA
"216","R_1reJ2cwHVcRdx02","4231894","2/9/17 15:45","2/9/17 16:19","1",NA,"1","0",NA,NA,NA,NA,"1","0","562","1",NA,NA,NA,562,1,NA,NA,NA,NA
"217","R_2yrQz0sJm66hHs9","4234171","2/9/17 15:46","2/9/17 16:19","1",NA,"1","0",NA,NA,NA,NA,"1","2","504","3",NA,NA,NA,504,3,NA,NA,NA,NA
"218","R_1gcMbWCMcBB97mN","4238278","2/9/17 15:45","2/9/17 16:19","1",NA,"1","0",NA,NA,NA,NA,"1","1","561","0",NA,NA,NA,561,0,NA,NA,NA,NA
"219","R_T0DdmF0xL4UeyoF","4233075","2/9/17 15:45","2/9/17 16:19","1",NA,"1","0",NA,NA,NA,NA,"1","3","528","4",NA,NA,NA,528,4,NA,NA,NA,NA
"220","R_3mn3yU0fiFRuFpE","4234390","2/9/17 15:45","2/9/17 16:20","1",NA,"1","1","1","3","528","2",NA,NA,NA,NA,NA,NA,NA,528,2,NA,NA,NA,NA
"221","R_WqeyNVn6c9Tupax","4233292","2/10/17 9:43","2/10/17 10:06","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA
"222","R_3r1wWSF39BmmeiW","4238818","2/10/17 9:46","2/10/17 10:06","1",NA,"1","1","1","1","580","2",NA,NA,NA,NA,NA,NA,NA,580,2,NA,NA,NA,NA
"223","R_1mJHbubNn2BqLXw","4235954","2/10/17 9:45","2/10/17 10:07","1",NA,"1","1","1","5","553","4",NA,NA,NA,NA,NA,NA,NA,553,4,NA,NA,NA,NA
"224","R_3I7BAlFmHBAEyQh","4232520","2/10/17 9:46","2/10/17 10:08","1",NA,"1","1","1","1","502","0",NA,NA,NA,NA,NA,NA,NA,502,0,NA,NA,NA,NA
"225","R_000JuvbRXXLw89P","4231746","2/10/17 9:45","2/10/17 10:08","1",NA,"1","0",NA,NA,NA,NA,"1","5","507","4",NA,NA,NA,507,4,NA,NA,NA,NA
